transactionId,productId,transactionAmount,transactionDatetime
1,10,1000.0,2018-10-01 10:10:10
2,10,1000.0,2018-10-01 10:15:10
3,20,2000.0,2018-10-01 10:20:10
4,10,1000.0,2018-10-01 10:25:10
5,30,3000.0,2018-10-01 10:30:10
6,20,2000.0,2018-10-01 10:35:10
7,10,1000.0,2018-10-01 10:40:10
8,30,3000.0,2018-10-01 10:45:10
9,20,2000.0,2018-10-01 10:50:10
10,10,1000.0,2018-10-01 10:55:10
11,10,1000.0,2018-10-01 11:00:10
12,20,2000.0,2018-10-01 11:05:10
13,30,3000.0,2018-10-01 11:10:10
14,10,1000.0,2018-10-01 11:15:10
15,20,2000.0,2018-10-01 11:20:10
16,30,3000.0,2018-10-01 11:25:10
17,10,1000.0,2018-10-01 11:30:10
18,20,2000.0,2018-10-01 11:35:10
19,30,3000.0,2018-10-01 11:40:10
20,10,1000.0,2018-10-01 11:45:10
21,20,2000.0,2018-10-01 11:50:10
22,30,3000.0,2018-10-01 11:55:10
23,10,1000.0,2018-10-01 12:00:10
24,20,2000.0,2018-10-01 12:05:10
25,30,3000.0,2018-10-01 12:10:10
26,10,1000.0,2018-10-01 12:15:10
27,20,2000.0,2018-10-01 12:20:10
28,30,3000.0,2018-10-01 12:25:10
29,10,1000.0,2018-10-01 12:30:10
30,20,2000.0,2018-10-01 12:35:10
31,30,3000.0,2018-10-01 12:40:10
32,10,1000.0,2018-10-01 12:45:10
33,20,2000.0,2018-10-01 12:50:10
34,30,3000.0,2018-10-01 12:55:10
35,10,1000.0,2018-10-01 13:00:10
36,20,2000.0,2018-10-01 13:05:10
37,30,3000.0,2018-10-01 13:10:10
38,10,1000.0,2018-10-01 13:15:10
39,20,2000.0,2018-10-01 13:20:10
40,30,3000.0,2018-10-01 13:25:10
41,10,1000.0,2018-10-01 13:30:10
42,20,2000.0,2018-10-01 13:35:10
43,30,3000.0,2018-10-01 13:40:10
44,10,1000.0,2018-10-01 13:45:10
45,20,2000.0,2018-10-01 13:50:10
46,30,3000.0,2018-10-01 13:55:10
47,10,1000.0,2018-10-01 14:00:10
48,20,2000.0,2018-10-01 14:05:10
49,30,3000.0,2018-10-01 14:10:10
50,10,1000.0,2018-10-01 14:15:10
51,20,2000.0,2018-10-01 14:20:10
52,30,3000.0,2018-10-01 14:25:10
53,10,1000.0,2018-10-01 14:30:10
54,20,2000.0,2018-10-01 14:35:10
55,30,3000.0,2018-10-01 14:40:10
56,10,1000.0,2018-10-01 14:45:10
57,20,2000.0,2018-10-01 14:50:10
58,30,3000.0,2018-10-01 14:55:10
59,10,1000.0,2018-10-01 15:00:10
60,20,2000.0,2018-10-01 15:05:10
61,30,3000.0,2018-10-01 15:10:10
62,10,1000.0,2018-10-01 15:15:10
63,20,2000.0,2018-10-01 15:20:10
64,30,3000.0,2018-10-01 15:25:10
65,10,1000.0,2018-10-01 15:30:10
66,20,2000.0,2018-10-01 15:35:10
67,30,3000.0,2018-10-01 15:40:10
68,10,1000.0,2018-10-01 15:45:10
69,20,2000.0,2018-10-01 15:50:10
70,30,3000.0,2018-10-01 15:55:10
71,10,1000.0,2018-10-01 16:00:10
72,20,2000.0,2018-10-01 16:05:10
73,30,3000.0,2018-10-01 16:10:10
74,10,1000.0,2018-10-01 16:15:10
75,20,2000.0,2018-10-01 16:20:10
76,30,3000.0,2018-10-01 16:25:10
77,10,1000.0,2018-10-01 16:30:10
78,20,2000.0,2018-10-01 16:35:10
79,30,3000.0,2018-10-01 16:40:10
80,10,1000.0,2018-10-01 16:45:10
81,20,2000.0,2018-10-01 16:50:10
82,30,3000.0,2018-10-01 16:55:10
83,10,1000.0,2018-10-01 17:00:10
84,20,2000.0,2018-10-01 17:05:10
85,30,3000.0,2018-10-01 17:10:10
86,10,1000.0,2018-10-01 17:15:10
87,20,2000.0,2018-10-01 17:20:10
88,30,3000.0,2018-10-01 17:25:10
89,10,1000.0,2018-10-01 17:30:10
90,20,2000.0,2018-10-01 17:35:10
91,30,3000.0,2018-10-01 17:40:10

